,url,fname,val_type
0,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0169.jpg,0169.jpg,pos
1,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0390.jpg,0390.jpg,pos
2,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/7682.jpg,7682.jpg,pos
3,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/6522.jpg,6522.jpg,pos
4,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/2656.jpg,2656.jpg,pos
5,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/4631.jpg,4631.jpg,pos
6,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/2634.jpg,2634.jpg,pos
7,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/3379.jpg,3379.jpg,pos
8,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/7683.jpg,7683.jpg,pos
9,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/2788.jpg,2788.jpg,pos
10,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/4689.jpg,4689.jpg,pos
11,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0178.jpg,0178.jpg,pos
12,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0427.jpg,0427.jpg,pos
13,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/5095.jpg,5095.jpg,pos
14,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/0116.jpg,0116.jpg,pos
15,raw.githubusercontent.com/saeedeh/sensoryValence-onlineStudy/main/stimuli/pos-upright/6463.jpg,6463.jpg,pos
